model,mae,rmse,rmsle,log_r2,median_absolute_percentage_error,mape,within_10pct,within_20pct,direction_accuracy
CatBoost residual model,687.4391872264799,5299.079798363541,0.6018450140320987,0.8917050328833321,0.14944857724064647,0.4031724348222238,0.3625539709538139,0.6043438440402983,0.648567316498757
XGBoost residual model,724.0897242026339,5753.0583254585445,0.6049544653436971,0.8905831234107977,0.14917632608320827,0.38200517475000295,0.35954468140782414,0.5970168781891927,0.655109250294387
Robust baseline + ML residual blend,690.9103938277884,5344.47048855863,0.6116483806129566,0.8881482971416524,0.14624150071719677,0.42643354186455557,0.3625539709538139,0.6120633259191417,0.6473897684155436
13-week median baseline,703.3307833596638,5485.456746107224,0.6698115823563519,0.865864341406,0.15256574596066041,0.6383774375713268,0.34999345806620435,0.6055213921235117,0.5649614025906058
Last-sale baseline,780.6242797330891,5746.578718928359,0.7394714067250389,0.8365135696812454,0.14926865671641804,1.2462801393667517,0.3740677744341227,0.5959701687818919,0.4087400235509617
